#
#amp:4.200000
#omega:4.900000
#force:0.100000
#gamma:0.900000
#Dg:0.001000
#Dp:0.000000
#lambda:0.000000
#biased posisson
#
#paths:8192
#periods:1000000
#trans:99
#spp:200
#2nd order algorithm
#
#paths period <<v>> <<v^2>> tic-tac
2 10 0.000000e+00 0.000000e+00 0.000000
2 100 -4.254973e-03 2.800362e-02 0.010000
2 1000 9.233249e-03 1.256299e+00 0.070000
2 10000 -2.047807e-02 1.180690e+00 0.650000
2 100000 -1.247344e-02 1.110905e+00 6.470000
2 1000000 -1.312258e-02 3.355443e-01 66.160000
4 10 0.000000e+00 0.000000e+00 66.170000
4 100 -5.572670e-03 3.066688e-02 66.170000
4 1000 -1.852067e-01 1.512388e+00 66.240000
4 10000 -1.878247e-01 1.520089e+00 66.850000
4 100000 -1.919328e-01 1.637243e+00 73.030000
4 1000000 -9.915130e-02 3.355443e-01 134.750000
8 10 0.000000e+00 0.000000e+00 134.760000
8 100 2.744341e-03 3.651699e-02 134.770000
8 1000 1.351552e-01 1.560486e+00 134.890000
8 10000 1.347935e-01 1.568446e+00 136.080000
8 100000 1.338925e-01 1.679865e+00 148.000000
8 1000000 8.454095e-02 3.355443e-01 267.280000
16 10 0.000000e+00 0.000000e+00 267.300000
16 100 4.918979e-03 3.262441e-02 267.320000
16 1000 1.611687e-01 1.468458e+00 267.560000
16 10000 1.630829e-01 1.477400e+00 269.930000
16 100000 1.632144e-01 1.635115e+00 293.640000
16 1000000 6.422079e-02 3.355443e-01 530.810000
32 10 0.000000e+00 0.000000e+00 530.840000
32 100 3.206533e-03 3.038020e-02 530.890000
32 1000 1.484224e-01 1.380176e+00 531.360000
32 10000 1.484350e-01 1.397333e+00 536.110000
32 100000 1.489279e-01 1.574985e+00 583.600000
32 1000000 4.330060e-02 1.926986e-01 1058.550000
64 10 0.000000e+00 0.000000e+00 1058.610000
64 100 7.341483e-04 3.263918e-02 1058.710000
64 1000 8.969763e-02 1.479057e+00 1059.650000
64 10000 8.973608e-02 1.477418e+00 1069.140000
64 100000 8.985858e-02 1.673270e+00 1164.110000
64 1000000 4.194396e-02 1.786569e-01 2113.650000
128 10 0.000000e+00 0.000000e+00 2113.770000
128 100 2.070200e-03 2.833194e-02 2113.960000
128 1000 7.266283e-02 1.283644e+00 2115.860000
128 10000 7.200316e-02 1.287470e+00 2134.940000
128 100000 7.204326e-02 1.372744e+00 2325.710000
128 1000000 2.144011e-02 1.677722e-01 4232.880000
256 10 0.000000e+00 0.000000e+00 4233.130000
256 100 3.637519e-04 2.734142e-02 4233.510000
256 1000 1.282498e-02 1.228251e+00 4237.340000
256 10000 1.484144e-02 1.226741e+00 4275.670000
256 100000 1.479721e-02 1.220200e+00 4659.260000
256 1000000 1.369730e-02 1.677722e-01 8495.910000
512 10 0.000000e+00 0.000000e+00 8496.410000
512 100 -6.779426e-04 2.720382e-02 8497.180000
512 1000 -3.247534e-02 1.231128e+00 8504.860000
512 10000 -3.253835e-02 1.236024e+00 8581.690000
512 100000 -3.279714e-02 1.216581e+00 9349.950000
512 1000000 -1.122815e-02 1.677722e-01 17033.990000
1024 10 0.000000e+00 0.000000e+00 17035.010000
1024 100 -4.407668e-04 2.649420e-02 17036.540000
1024 1000 -2.699334e-02 1.194311e+00 17051.930000
1024 10000 -2.666206e-02 1.190849e+00 17205.860000
1024 100000 -2.661700e-02 1.196656e+00 18745.170000
1024 1000000 -1.048632e-02 1.677722e-01 34132.270000
2048 10 0.000000e+00 0.000000e+00 34134.320000
2048 100 -4.444566e-04 2.678521e-02 34137.400000
2048 1000 -2.914306e-02 1.207233e+00 34168.220000
2048 10000 -2.953055e-02 1.205685e+00 34476.300000
2048 100000 -2.954000e-02 1.199441e+00 37556.910000
2048 1000000 -8.036092e-03 1.677722e-01 68364.450000
4096 10 0.000000e+00 0.000000e+00 68368.560000
4096 100 -5.200210e-04 2.689944e-02 68374.720000
4096 1000 -2.694127e-02 1.207623e+00 68436.370000
4096 10000 -2.713839e-02 1.206616e+00 69053.360000
4096 100000 -2.706050e-02 1.198313e+00 75222.260000
