#
#amp:4.200000
#omega:4.900000
#force:0.100000
#gamma:0.900000
#Dg:0.001000
#Dp:0.000000
#lambda:0.000000
#biased posisson
#
#paths:8192
#periods:1000000
#trans:99
#spp:200
#2nd order algorithm
#
#paths period <<v>> <<v^2>> tic-tac
2 10 0.000000e+00 0.000000e+00 0.000000
2 100 -3.785436e-03 2.499568e-02 0.000000
2 1000 -2.418351e-02 1.180572e+00 0.040000
2 10000 -1.525482e-02 1.215617e+00 0.490000
2 100000 -1.133985e-02 1.106090e+00 4.920000
2 1000000 -1.284773e-02 3.355443e-01 49.210000
4 10 0.000000e+00 0.000000e+00 49.210000
4 100 -5.700804e-03 9.284845e-03 49.220000
4 1000 -6.124223e-02 6.339460e-01 49.270000
4 10000 -6.140740e-02 6.018994e-01 49.710000
4 100000 -5.362318e-02 5.523267e-01 54.160000
4 1000000 -1.094608e-02 1.677722e-01 98.620000
8 10 0.000000e+00 0.000000e+00 98.630000
8 100 -1.091139e-03 2.243067e-02 98.640000
8 1000 -7.977547e-02 9.405975e-01 98.730000
8 10000 -8.522989e-02 9.235516e-01 99.620000
8 100000 -7.838136e-02 7.806804e-01 108.570000
8 1000000 -5.848560e-02 1.677722e-01 197.990000
16 10 0.000000e+00 0.000000e+00 198.000000
16 100 4.523211e-03 2.433880e-02 198.020000
16 1000 1.989035e-01 1.049945e+00 198.200000
16 10000 1.992838e-01 1.022763e+00 199.960000
16 100000 1.997898e-01 8.420870e-01 217.590000
16 1000000 4.196582e-02 1.600325e-01 393.940000
32 10 0.000000e+00 0.000000e+00 393.970000
32 100 1.167760e-03 2.393262e-02 394.000000
32 1000 4.851796e-02 1.127600e+00 394.350000
32 10000 4.755017e-02 1.061265e+00 397.860000
32 100000 5.551610e-02 8.391763e-01 432.860000
32 1000000 2.651169e-02 8.782934e-02 782.940000
64 10 0.000000e+00 0.000000e+00 782.990000
64 100 5.498452e-04 2.506721e-02 783.060000
64 1000 2.037538e-03 1.144917e+00 783.750000
64 10000 2.439380e-03 1.027738e+00 790.730000
64 100000 2.769746e-03 8.388637e-01 860.510000
64 1000000 2.620871e-03 8.395976e-02 1558.400000
128 10 0.000000e+00 0.000000e+00 1558.490000
128 100 -1.740307e-03 2.902938e-02 1558.630000
128 1000 -5.815739e-02 1.249018e+00 1560.020000
128 10000 -5.417714e-02 1.061952e+00 1573.960000
128 100000 -6.896532e-02 8.388614e-01 1713.310000
128 1000000 -1.756297e-02 8.389937e-02 3106.830000
256 10 0.000000e+00 0.000000e+00 3107.020000
256 100 -4.464443e-04 2.648291e-02 3107.290000
256 1000 -1.609161e-02 1.153425e+00 3110.080000
256 10000 -1.738028e-02 9.670632e-01 3137.940000
256 100000 -2.179134e-02 8.388608e-01 3416.560000
256 1000000 -1.048576e-02 8.388608e-02 6203.510000
512 10 0.000000e+00 0.000000e+00 6203.880000
512 100 -2.443697e-04 2.669545e-02 6204.440000
512 1000 -1.261442e-02 1.113042e+00 6210.010000
512 10000 -1.385010e-02 9.420022e-01 6265.750000
512 100000 -1.121450e-02 8.388608e-01 6823.170000
512 1000000 -5.242927e-03 8.388608e-02 12399.500000
1024 10 0.000000e+00 0.000000e+00 12400.240000
1024 100 -2.250007e-04 2.736723e-02 12401.350000
1024 1000 -2.570383e-02 1.050499e+00 12412.500000
1024 10000 -2.343788e-02 9.620319e-01 12523.980000
1024 100000 -2.812140e-02 8.388608e-01 13638.970000
1024 1000000 -5.244506e-03 8.388608e-02 24787.750000
2048 10 0.000000e+00 0.000000e+00 24789.230000
2048 100 -4.914881e-04 2.776041e-02 24791.450000
2048 1000 -2.306656e-02 1.001194e+00 24813.730000
2048 10000 -2.591944e-02 9.765315e-01 25036.540000
2048 100000 -2.659370e-02 8.388608e-01 27264.380000
2048 1000000 -5.245070e-03 8.388608e-02 49544.810000
4096 10 0.000000e+00 0.000000e+00 49547.770000
4096 100 -6.330519e-04 2.751169e-02 49552.220000
4096 1000 -2.928988e-02 9.721959e-01 49596.790000
4096 10000 -3.148035e-02 9.727398e-01 50042.510000
4096 100000 -2.706743e-02 8.388608e-01 54499.560000
4096 1000000 -5.242880e-03 8.388608e-02 99143.900000
8192 10 0.000000e+00 0.000000e+00 99149.840000
8192 100 -5.093606e-04 2.715982e-02 99158.750000
8192 1000 -2.032002e-02 9.372938e-01 99248.080000
8192 10000 -2.115164e-02 9.421415e-01 100141.380000
8192 100000 -1.860722e-02 8.388608e-01 109073.650000
