#
#amp:10.188248
#omega:3.769911
#force:0.000000
#gamma:0.816814
#Dg:0.000100
#Dp:0.000006
#lambda:1000.000000
#biased posisson
#
#paths:8192
#periods:1000000
#trans:99
#spp:500
#1st order algorithm
#
#paths period <<v>> <<v^2>> tic-tac
2 10 0.000000e+00 0.000000e+00 0.000000
2 100 -3.591653e-02 1.381547e-01 0.020000
2 1000 -1.620002e+00 6.249830e+00 0.190000
2 10000 -1.608868e+00 6.249035e+00 1.920000
2 100000 -1.616325e+00 6.245322e+00 19.200000
2 1000000 -nan -nan 194.410000
4 10 0.000000e+00 0.000000e+00 194.430000
4 100 -nan -nan 194.450000
4 1000 -nan -nan 194.620000
4 10000 -nan -nan 196.360000
4 100000 -nan -nan 213.650000
4 1000000 -nan -nan 386.570000
8 10 0.000000e+00 0.000000e+00 386.590000
8 100 -nan -nan 386.620000
8 1000 -nan -nan 386.970000
8 10000 -nan -nan 390.410000
8 100000 -nan -nan 424.910000
8 1000000 -nan -nan 773.760000
16 10 0.000000e+00 0.000000e+00 773.810000
16 100 -nan -nan 773.880000
16 1000 -nan -nan 774.560000
16 10000 -nan -nan 781.410000
16 100000 -nan -nan 849.910000
16 1000000 -nan -nan 1545.770000
32 10 0.000000e+00 0.000000e+00 1545.870000
32 100 -nan -nan 1546.010000
32 1000 -nan -nan 1547.370000
32 10000 -nan -nan 1561.020000
32 100000 -nan -nan 1699.610000
